id,siCardNumber,twentyFourHour,weekDay,fourWeekCounter,twelveHourTimer,subSecond,origFromNode,radioMessageId,createdDate
2892,0,1,1,0,36000,0,1,2082,"2016-03-06 21:14:52.463509"
3106,0,1,1,0,36000,0,1,2189,"2016-03-06 21:21:21.438644"
3348,0,1,1,0,36000,0,1,2310,"2016-03-06 21:28:16.541368"
3583,0,1,1,0,36000,0,1,2428,"2016-03-06 21:35:06.106946"
3827,0,1,1,0,36000,0,1,2550,"2016-03-06 21:42:03.916878"
4072,0,1,1,0,36000,0,1,2672,"2016-03-06 21:49:02.912655"
4322,0,1,1,0,36000,0,1,2797,"2016-03-06 21:56:05.826049"
4558,0,1,1,0,36000,0,1,2915,"2016-03-06 22:02:52.458347"
4885,0,1,1,0,36000,0,1,3079,"2016-03-06 22:12:22.972160"
2481,1,1,1,0,36000,0,,1876,"2016-03-06 21:02:24.461545"
2686,1,1,1,0,36000,0,1,1979,"2016-03-06 21:08:38.790898"
2891,1,1,1,0,36000,0,1,2082,"2016-03-06 21:14:52.441306"
3105,1,1,1,0,36000,0,1,2189,"2016-03-06 21:21:21.417327"
3347,1,1,1,0,36000,0,1,2310,"2016-03-06 21:28:16.519063"
3586,1,1,1,0,36000,0,1,2429,"2016-03-06 21:35:09.464365"
3830,1,1,1,0,36000,0,1,2551,"2016-03-06 21:42:07.289624"
4071,1,1,1,0,36000,0,1,2672,"2016-03-06 21:49:02.890261"
4321,1,1,1,0,36000,0,1,2797,"2016-03-06 21:56:05.800714"
4557,1,1,1,0,36000,0,1,2915,"2016-03-06 22:02:52.435218"
2482,2,1,1,0,36000,0,,1877,"2016-03-06 21:02:31.113934"
2685,2,1,1,0,36000,0,1,1979,"2016-03-06 21:08:38.769229"
2894,2,1,1,0,36000,0,1,2083,"2016-03-06 21:14:56.564623"
3350,2,1,1,0,36000,0,1,2311,"2016-03-06 21:28:20.766435"
3585,2,1,1,0,36000,0,1,2429,"2016-03-06 21:35:09.442225"
3829,2,1,1,0,36000,0,1,2551,"2016-03-06 21:42:07.267847"
4074,2,1,1,0,36000,0,1,2673,"2016-03-06 21:49:06.276096"
4324,2,1,1,0,36000,0,1,2798,"2016-03-06 21:56:09.202689"
4559,2,1,1,0,36000,0,1,2916,"2016-03-06 22:02:55.927638"
4793,2,1,1,0,36000,0,1,3033,"2016-03-06 22:09:49.285599"
2688,3,1,1,0,36000,0,1,1980,"2016-03-06 21:08:42.677695"
2893,3,1,1,0,36000,0,1,2083,"2016-03-06 21:14:56.544058"
3108,3,1,1,0,36000,0,1,2190,"2016-03-06 21:21:24.747996"
3349,3,1,1,0,36000,0,1,2311,"2016-03-06 21:28:20.745847"
3588,3,1,1,0,36000,0,1,2430,"2016-03-06 21:35:12.811618"
3832,3,1,1,0,36000,0,1,2552,"2016-03-06 21:42:10.636960"
4073,3,1,1,0,36000,0,1,2673,"2016-03-06 21:49:06.249916"
4323,3,1,1,0,36000,0,1,2798,"2016-03-06 21:56:09.179884"
4710,3,1,1,0,36000,0,1,2991,"2016-03-06 22:07:29.029274"
4936,3,1,1,0,36000,0,1,3104,"2016-03-06 22:13:46.476712"
2484,4,1,1,0,36000,0,1,1878,"2016-03-06 21:02:34.487117"
2687,4,1,1,0,36000,0,1,1980,"2016-03-06 21:08:42.656534"
