id|siCardNumber|twentyFourHour|weekDay|fourWeekCounter|twelveHourTimer|subSecond|origFromNode|radioMessageId|sentToMeos|createdDate
290|8|1|1|0|36000|0|2|290|1|2016-04-05 22:48:55.059781
291|9|1|1|0|36000|0|2|291|1|2016-04-05 22:49:00.181439
292|10|1|1|0|36000|0|2|292|1|2016-04-05 22:49:05.401775
293|11|1|1|0|36000|0|2|293|1|2016-04-05 22:49:10.404658
294|12|1|1|0|36000|0|2|294|1|2016-04-05 22:49:15.515448
295|13|1|1|0|36000|0|2|295|1|2016-04-05 22:49:20.732495
296|14|1|1|0|36000|0|2|296|1|2016-04-05 22:49:25.734718
297|15|1|1|0|36000|0|2|297|1|2016-04-05 22:49:30.843254
298|16|1|1|0|36000|0|2|298|1|2016-04-05 22:49:35.960399
299|17|1|1|0|36000|0|2|299|1|2016-04-05 22:49:41.074989
300|18|1|1|0|36000|0|2|300|1|2016-04-05 22:49:46.297737
301|19|1|1|0|36000|0|2|301|1|2016-04-05 22:49:51.291941
302|20|1|1|0|36000|0|2|302|1|2016-04-05 22:49:56.403814
303|21|1|1|0|36000|0|2|303|1|2016-04-05 22:50:01.512448
304|22|1|1|0|36000|0|2|304|1|2016-04-05 22:50:06.623118
305|23|1|1|0|36000|0|2|305|1|2016-04-05 22:50:11.735820
306|24|1|1|0|36000|0|2|306|1|2016-04-05 22:50:16.848896
307|25|1|1|0|36000|0|2|307|1|2016-04-05 22:50:21.965662
308|26|1|1|0|36000|0|2|308|1|2016-04-05 22:50:27.088328
309|27|1|1|0|36000|0|2|309|1|2016-04-05 22:50:32.219564
310|28|1|1|0|36000|0|2|310|1|2016-04-05 22:50:37.234480
311|29|1|1|0|36000|0|2|311|1|2016-04-05 22:50:42.392390
312|30|1|1|0|36000|0|2|312|1|2016-04-05 22:50:47.528471
313|31|1|1|0|36000|0|2|313|1|2016-04-05 22:50:52.559829
314|32|1|1|0|36000|0|2|314|1|2016-04-05 22:50:57.602624
315|33|1|1|0|36000|0|2|315|1|2016-04-05 22:51:02.741036
316|34|1|1|0|36000|0|2|316|1|2016-04-05 22:51:07.782856
317|35|1|1|0|36000|0|2|317|1|2016-04-05 22:51:12.824763
318|36|1|1|0|36000|0|2|318|1|2016-04-05 22:51:17.984817
319|37|1|1|0|36000|0|2|319|1|2016-04-05 22:51:23.134938
320|38|1|1|0|36000|0|2|320|1|2016-04-05 22:51:28.290061
321|39|1|1|0|36000|0|2|321|1|2016-04-05 22:51:33.330300
322|40|1|1|0|36000|0|2|322|1|2016-04-05 22:51:38.479569
323|41|1|1|0|36000|0|2|323|1|2016-04-05 22:51:43.520124
324|42|1|1|0|36000|0|2|324|1|2016-04-05 22:51:48.666192
325|43|1|1|0|36000|0|2|325|1|2016-04-05 22:51:53.830384
326|44|1|1|0|36000|0|2|326|1|2016-04-05 22:51:58.869986
327|45|1|1|0|36000|0|2|327|1|2016-04-05 22:52:04.027858
328|46|1|1|0|36000|0|2|328|1|2016-04-05 22:52:09.180367
329|47|1|1|0|36000|0|2|329|1|2016-04-05 22:52:14.228407
330|48|1|1|0|36000|0|2|330|1|2016-04-05 22:52:19.284584
331|49|1|1|0|36000|0|2|331|1|2016-04-05 22:52:24.447431
332|50|1|1|0|36000|0|2|332|1|2016-04-05 22:52:29.597872
333|51|1|1|0|36000|0|2|333|1|2016-04-05 22:52:34.635658
334|52|1|1|0|36000|0|2|334|1|2016-04-05 22:52:39.799310
335|53|1|1|0|36000|0|2|335|1|2016-04-05 22:52:44.852883
336|54|1|1|0|36000|0|2|336|1|2016-04-05 22:52:50.006095
337|55|1|1|0|36000|0|2|337|1|2016-04-05 22:52:55.159820
338|56|1|1|0|36000|0|2|338|1|2016-04-05 22:53:00.091505
339|57|1|1|0|36000|0|2|339|1|2016-04-05 22:53:05.246854
340|58|1|1|0|36000|0|2|340|1|2016-04-05 22:53:10.394918
341|59|1|1|0|36000|0|2|341|1|2016-04-05 22:53:15.440653
342|60|1|1|0|36000|0|2|342|1|2016-04-05 22:53:20.589472
343|61|1|1|0|36000|0|2|343|1|2016-04-05 22:53:25.632404
344|62|1|1|0|36000|0|2|344|1|2016-04-05 22:53:30.773111
345|63|1|1|0|36000|0|2|345|1|2016-04-05 22:53:35.816529
346|64|1|1|0|36000|0|2|346|1|2016-04-05 22:53:40.979994
347|65|1|1|0|36000|0|2|347|1|2016-04-05 22:53:46.025970
348|66|1|1|0|36000|0|2|348|1|2016-04-05 22:53:51.184188
349|67|1|1|0|36000|0|2|349|1|2016-04-05 22:53:56.338284
350|68|1|1|0|36000|0|2|350|1|2016-04-05 22:54:01.384806
351|69|1|1|0|36000|0|2|351|1|2016-04-05 22:54:06.472709
352|70|1|1|0|36000|0|2|352|1|2016-04-05 22:54:11.655722
353|71|1|1|0|36000|0|2|353|1|2016-04-05 22:54:16.721004
354|72|1|1|0|36000|0|2|354|1|2016-04-05 22:54:21.792163
355|73|1|1|0|36000|0|2|355|1|2016-04-05 22:54:26.969673
356|74|1|1|0|36000|0|2|356|1|2016-04-05 22:54:32.048516
357|75|1|1|0|36000|0|2|357|1|2016-04-05 22:54:37.229994
358|76|1|1|0|36000|0|2|358|1|2016-04-05 22:54:42.298718
359|77|1|1|0|36000|0|2|359|1|2016-04-05 22:54:47.482860
360|78|1|1|0|36000|0|2|360|1|2016-04-05 22:54:52.561142
361|79|1|1|0|36000|0|2|361|1|2016-04-05 22:54:57.630444
362|80|1|1|0|36000|0|2|362|1|2016-04-05 22:55:02.701487
363|81|1|1|0|36000|0|2|363|1|2016-04-05 22:55:07.883139
